issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
230,83,trying,| probieren                                                  | (to) try   **trying**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'trying' is redundant when the infinitive '(to) try' is already provided as the English equivalent.
231,83,producing,| produzieren                                                | (to) produce   **producing**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'producing' is redundant when the infinitive '(to) produce' is already provided as the English equivalent.
232,83,smoking,| rauchen                                                    | (to) smoke   **smoking**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'smoking' is redundant when the infinitive '(to) smoke' is already provided as the English equivalent.
233,83,recycling,| recyceln                                                   | (to) recycle   **recycling**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'recycling' is redundant when the infinitive '(to) recycle' is already provided as the English equivalent.
234,83,talking,| reden                                                      | (to) talk   **talking**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'talking' is redundant when the infinitive '(to) talk' is already provided as the English equivalent.
235,83,reducing,| reduzieren                                                 | (to) reduce   **reducing**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'reducing' is redundant when the infinitive '(to) reduce' is already provided as the English equivalent.
236,83,traveling,| reisen                                                     | (to) travel   **traveling**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'traveling' is redundant when the infinitive '(to) travel' is already provided as the English equivalent.
237,83,traveling,| reisen                                                     | (to) travel   **traveling**                                                                                                                                                                                                                            |,ErrorCategory.SPELLING_ERROR,95,The British English spelling is 'travelling' (Oxford English Dictionary).
238,83,repairing,| reparieren                                                 | (to) repair   **repairing**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'repairing' is redundant when the infinitive '(to) repair' is already provided as the English equivalent.
239,83,saving,| retten                                                     | (to) save   **saving**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'saving' is redundant when the infinitive '(to) save' is already provided as the English equivalent.
240,83,calling,| rufen                                                      | (to) call   **calling**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'calling' is redundant when the infinitive '(to) call' is already provided as the English equivalent.
241,83,"saying, telling","| sagen                                                      | (to) say, tell   **saying, telling**                                                                                                                                                                                                                  |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
242,83,"collecting, gathering","| sammeln                                                    | (to) collect, gather   **collecting, gathering**                                                                                                                                                                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
243,83,"creating, managing","| schaffen                                                   | (to) create, manage   **creating, managing**                                                                                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
244,83,"seeming, appearing, shining","| scheinen                                                   | (to) seem, appear, shine   **seeming, appearing, shining**                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
245,83,giving (as a present),| schenken                                                   | (to) give (as a present)   **giving (as a present)**                                                                                                                                                                                                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'giving (as a present)' is redundant when the infinitive '(to) give (as a present)' is already provided as the English equivalent.
246,83,sending,| schicken                                                   | (to) send   **sending**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sending' is redundant when the infinitive '(to) send' is already provided as the English equivalent.
247,83,sleeping,| schlafen                                                   | (to) sleep   **sleeping**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sleeping' is redundant when the infinitive '(to) sleep' is already provided as the English equivalent.
248,83,queueing,| Schlange stehen                                            | (to) queue   **queueing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'queueing' is redundant when the infinitive '(to) queue' is already provided as the English equivalent.
249,83,queueing,| Schlange stehen                                            | (to) queue   **queueing**                                                                                                                                                                                                                              |,ErrorCategory.SPELLING_ERROR,95,The correct British English spelling is 'queuing' (Oxford English Dictionary).
250,83,tasting,| schmecken                                                  | (to) taste   **tasting**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'tasting' is redundant when the infinitive '(to) taste' is already provided as the English equivalent.
251,83,decorating,| schmücken                                                  | (to) decorate   **decorating**                                                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'decorating' is redundant when the infinitive '(to) decorate' is already provided as the English equivalent.
252,83,cutting,| schneiden                                                  | (to) cut   **cutting**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'cutting' is redundant when the infinitive '(to) cut' is already provided as the English equivalent.
253,83,writing (to + noun),| schreiben (anacc. + noun)                                  | (to) write (to + noun)   **writing (to + noun)**                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'writing (to + noun)' is redundant when the infinitive '(to) write (to + noun)' is already provided as the English equivalent.
254,83,"protecting, conserving","| schützen                                                   | (to) protect, to conserve   **protecting, conserving**                                                                                                                                                                                                 |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
255,83,sailing,| segeln                                                     | (to) sail   **sailing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sailing' is redundant when the infinitive '(to) sail' is already provided as the English equivalent.
256,83,seeing,| sehen                                                      | (to) see   **seeing**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'seeing' is redundant when the infinitive '(to) see' is already provided as the English equivalent.
257,83,sending,| senden                                                     | (to) send   **sending**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sending' is redundant when the infinitive '(to) send' is already provided as the English equivalent.
258,83,complaining,| sich beschweren                                            | (to) complain   **complaining**                                                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'complaining' is redundant when the infinitive '(to) complain' is already provided as the English equivalent.
259,83,breaking one's leg,| sich das Bein brechen                                      | (to) break one's leg   **breaking one's leg**                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'breaking one's leg' is redundant when the infinitive '(to) break one's leg' is already provided as the English equivalent.
260,83,burning one's hand,| sich die Hand verbrennen                                   | (to) burn one's hand   **burning one's hand**                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'burning one's hand' is redundant when the infinitive '(to) burn one's hand' is already provided as the English equivalent.
261,83,being sick,| sich erbrechen                                             | (to) be sick   **being sick**                                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'being sick' is redundant when the infinitive '(to) be sick' is already provided as the English equivalent.
262,83,cutting one's finger,| sich in den Finger schneiden                               | (to) cut one's finger   **cutting one's finger**                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'cutting one's finger' is redundant when the infinitive '(to) cut one's finger' is already provided as the English equivalent.
263,83,sunbathing,| sich sonnen                                                | (to) sunbathe   **sunbathing**                                                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sunbathing' is redundant when the infinitive '(to) sunbathe' is already provided as the English equivalent.
264,83,sending an SMS/text message,| simsen                                                     | (to) send an SMS/text message   **sending an SMS/text message**                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sending an SMS/text message' is redundant when the infinitive '(to) send an SMS/text message' is already provided as the English equivalent.
265,83,singing,| singen                                                     | (to) sing   **singing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'singing' is redundant when the infinitive '(to) sing' is already provided as the English equivalent.
266,83,sitting,| sitzen                                                     | (to) sit   **sitting**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'sitting' is redundant when the infinitive '(to) sit' is already provided as the English equivalent.
267,83,"caring for, looking after","| sorgen für                                                 | (to) care for, to look after   **caring for, looking after**                                                                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
268,83,saving,| sparen                                                     | (to) save   **saving**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'saving' is redundant when the infinitive '(to) save' is already provided as the English equivalent.
269,83,speaking,| sprechen                                                   | (to) speak   **speaking**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'speaking' is redundant when the infinitive '(to) speak' is already provided as the English equivalent.
270,83,"taking place, occurring","| stattfinden                                                | (to) take place, occur   **taking place, occurring**                                                                                                                                                                                                   |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
271,83,standing,| stehen                                                     | (to) stand   **standing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'standing' is redundant when the infinitive '(to) stand' is already provided as the English equivalent.
272,83,"increasing, climbing","| steigen                                                    | (to) increase, climb   **increasing, climbing**                                                                                                                                                                                                        |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
273,83,dying (from + noun),| sterben (an dat. + noun)                                   | (to) die (from + noun)   **dying (from + noun)**                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'dying (from + noun)' is redundant when the infinitive '(to) die (from + noun)' is already provided as the English equivalent.
274,83,streaming,| streamen                                                   | (to) stream   **streaming**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'streaming' is redundant when the infinitive '(to) stream' is already provided as the English equivalent.
275,83,arguing,"| streiten                                                   | (to) argue, **arguing**                                                                                                                                                                                                                                |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'arguing' is redundant when the infinitive '(to) argue' is already provided as the English equivalent.
276,83,studying (at university),| studieren                                                  | (to) study (at university)   **studying (at university)**                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'studying (at university)' is redundant when the infinitive '(to) study (at university)' is already provided as the English equivalent.
277,83,"searching for, looking for","| suchen                                                     | (to) search for, look for   **searching for, looking for**                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
278,83,"exchanging, swapping","| tauschen                                                   | (to) exchange, swap   **exchanging, swapping**                                                                                                                                                                                                         |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
279,83,"dividing, sharing","| teilen                                                     | (to) divide, share   **dividing, sharing**                                                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
280,83,"taking part in, participating in","| teilnehmen an + dat.                                       | (to) take part in, to participate in   **taking part in, participating in**                                                                                                                                                                           |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
281,83,"(making a telephone) call, calling","| telefonieren                                               | (to) (make a telephone) call   **(making a telephone) call, calling**                                                                                                                                                                                     |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
282,83,"carrying, wearing","| tragen                                                     | (to) carry, wear   **carrying, wearing**                                                                                                                                                                                                               |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
283,83,training,| trainieren                                                 | (to) train   **training**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'training' is redundant when the infinitive '(to) train' is already provided as the English equivalent.
284,83,meeting; (to) meet up meeting up,| treffen; sich acc. treffen                                 | (to) meet   **meeting; (to) meet up   meeting up**                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
285,83,"driving, pursuing","| treiben                                                    | (to) drive, pursue   **driving, pursuing**                                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
286,83,"doing, putting","| tun                                                        | (to) do, put   **doing, putting**                                                                                                                                                                                                                      |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
287,83,feeling sick,| übel (mir ist)                                             | (to) feel sick   **feeling sick**                                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'feeling sick' is redundant when the infinitive '(to) feel sick' is already provided as the English equivalent.
288,83,"practising, training","| üben                                                       | (to) practise, train   **practising, training**                                                                                                                                                                                                        |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
289,83,staying overnight,| übernachten                                                | (to) stay overnight   **staying overnight**                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'staying overnight' is redundant when the infinitive '(to) stay overnight' is already provided as the English equivalent.
290,83,surprising,| überraschen                                                | (to) surprise   **surprising**                                                                                                                                                                                                                         |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'surprising' is redundant when the infinitive '(to) surprise' is already provided as the English equivalent.
291,83,translating,| übersetzen                                                 | (to) translate   **translating**                                                                                                                                                                                                                       |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'translating' is redundant when the infinitive '(to) translate' is already provided as the English equivalent.
292,83,changing (train),| umsteigen                                                  | (to) change (train)   **changing (train)**                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'changing (train)' is redundant when the infinitive '(to) change (train)' is already provided as the English equivalent.
293,83,accommodating,| unterbringen                                               | (to) accommodate   **accommodating**                                                                                                                                                                                                                   |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'accommodating' is redundant when the infinitive '(to) accommodate' is already provided as the English equivalent.
294,83,"entertaining; (to) amuse oneself, chat amusing oneself, chatting","| unterhalten; sich unterhalten                              | (to) entertain   **entertaining; (to) amuse oneself, chat   amusing oneself, chatting**                                                                                                                                    |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
295,83,teaching,| unterrichten                                               | (to) teach   **teaching**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'teaching' is redundant when the infinitive '(to) teach' is already provided as the English equivalent.
296,83,supporting,| unterstützen                                               | (to) support   **supporting**                                                                                                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'supporting' is redundant when the infinitive '(to) support' is already provided as the English equivalent.
297,83,examining,| untersuchen                                                | (to) examine   **examining**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'examining' is redundant when the infinitive '(to) examine' is already provided as the English equivalent.
298,83,"improving, correcting","| verbessern                                                 | (to) improve, correct   **improving, correcting**                                                                                                                                                                                                      |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
299,83,"forbidding, prohibiting","| verbieten                                                  | (to) forbid, prohibit   **forbidding, prohibiting**                                                                                                                                                                                                    |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
300,83,"connecting, linking, uniting, bandaging","| verbinden                                                  | (to) connect, link, unite, bandage   **connecting, linking, uniting, bandaging**                                                                                                                                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
301,83,spending (time),| verbringen                                                 | (to) spend (time)   **spending (time)**                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'spending (time)' is redundant when the infinitive '(to) spend (time)' is already provided as the English equivalent.
302,83,"earning, deserving","| verdienen                                                  | (to) earn, deserve   **earning, deserving**                                                                                                                                                                                                            |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
303,83,forgetting,| vergessen                                                  | (to) forget   **forgetting**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'forgetting' is redundant when the infinitive '(to) forget' is already provided as the English equivalent.
304,83,leaving,| verlassen                                                  | (to) leave   **leaving**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'leaving' is redundant when the infinitive '(to) leave' is already provided as the English equivalent.
305,83,injuring,| verletzen                                                  | (to) injure   **injuring**                                                                                                                                                                                                                             |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'injuring' is redundant when the infinitive '(to) injure' is already provided as the English equivalent.
306,83,losing,| verlieren                                                  | (to) lose   **losing**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'losing' is redundant when the infinitive '(to) lose' is already provided as the English equivalent.
307,83,"missing (train, bus)","| verpassen                                                  | (to) miss (train, bus)   **missing (train, bus)**                                                                                                                                                                                                      |",ErrorCategory.STYLISTIC_PREFERENCE,80,"The present participle 'missing (train, bus)' is redundant when the infinitive '(to) miss (train, bus)' is already provided as the English equivalent."
308,83,polluting,| verschmutzen                                               | (to) pollute   **polluting**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'polluting' is redundant when the infinitive '(to) pollute' is already provided as the English equivalent.
309,83,disappearing,| verschwinden                                               | (to) disappear   **disappearing**                                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'disappearing' is redundant when the infinitive '(to) disappear' is already provided as the English equivalent.
310,83,understanding; (to) get on well with getting on well with,| verstehen; sich verstehen (mit)                            | (to) understand   **understanding; (to) get on well with   getting on well with**                                                                                                                                          |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
311,83,trying,| versuchen                                                  | (to) try   **trying**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'trying' is redundant when the infinitive '(to) try' is already provided as the English equivalent.
312,83,trusting,| vertrauen                                                  | (to) trust   **trusting**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'trusting' is redundant when the infinitive '(to) trust' is already provided as the English equivalent.
313,83,causing,| verursachen                                                | (to) cause   **causing**                                                                                                                                                                                                                               |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'causing' is redundant when the infinitive '(to) cause' is already provided as the English equivalent.
314,83,preparing (for + noun),| vorbereiten (auf + noun)                                   | (to) prepare (for + noun)   **preparing (for + noun)**                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'preparing (for + noun)' is redundant when the infinitive '(to) prepare (for + noun)' is already provided as the English equivalent.
315,83,"having in mind, intending","| vorhaben                                                   | (to) have in mind, be planning, intend   **having in mind, intending**                                                                                                                                                                                 |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
316,83,introducing; (to) imagine imagining,| vorstellen; sichdat. vorstellen                            | (to) introduce   **introducing; (to) imagine   imagining**                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
317,83,"choosing, electing, voting","| wählen                                                     | (to) choose, elect, vote   **choosing, electing, voting**                                                                                                                                                                                             |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
318,83,(going on a) walk or hike,| wandern                                                    | (to) (go on a) walk or hike   **(going on a) walk or hike**                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The gerund phrase is redundant when the infinitive phrase is already provided as the English equivalent.
319,83,hurting,| weh tun                                                    | (to) hurt   **hurting**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'hurting' is redundant when the infinitive '(to) hurt' is already provided as the English equivalent.
320,83,"carrying on, continuing","| weitermachen                                               | (to) carry on, continue   **carrying on, continuing**                                                                                                                                                                                                  |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
321,83,becoming (we) become (we) are becoming (we) will (aux) (they) become (they) are becoming (they) will (aux) (you (formal)) become (you (formal)) are becoming (you (formal)) will (aux),| werden                                                     | (to) become   **becoming   (we) become   (we) are becoming   (we) will (aux)   (they) become   (they) are becoming   (they) will (aux)   (you (formal)) become   (you (formal)) are becoming   (you (formal)) will (aux)** |,ErrorCategory.CONSISTENCY_ERROR,90,"This entry deviates significantly from the established concise pattern of (to) [infinitive] [present participle] used for all other verbs, making it inconsistent and overly verbose."
322,83,repeating,| wiederholen                                                | (to) repeat   **repeating**                                                                                                                                                                                                                            |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'repeating' is redundant when the infinitive '(to) repeat' is already provided as the English equivalent.
323,83,recycling,| wiederverwerten                                            | (to) recycle   **recycling**                                                                                                                                                                                                                           |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'recycling' is redundant when the infinitive '(to) recycle' is already provided as the English equivalent.
324,83,weighing,| wiegen                                                     | (to) weigh   **weighing**                                                                                                                                                                                                                              |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'weighing' is redundant when the infinitive '(to) weigh' is already provided as the English equivalent.
325,83,knowing (something),| wissen                                                     | (to) know (something)   **knowing (something)**                                                                                                                                                                                                        |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'knowing (something)' is redundant when the infinitive '(to) know (something)' is already provided as the English equivalent.
326,83,living,| wohnen                                                     | (to) live   **living**                                                                                                                                                                                                                                 |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'living' is redundant when the infinitive '(to) live' is already provided as the English equivalent.
327,83,wanting (to),| wollen                                                     | (to) want (to)   **wanting (to)**                                                                                                                                                                                                                      |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'wanting (to)' is redundant when the infinitive '(to) want (to)' is already provided as the English equivalent.
328,83,"wanting, wishing","| wünschen                                                   | (to) want, wish   **wanting, wishing**                                                                                                                                                                                                                 |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
329,83,wishing,| wünschen sich                                              | (to) wish   **wishing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'wishing' is redundant when the infinitive '(to) wish' is already provided as the English equivalent.
330,83,paying,| zahlen                                                     | (to) pay   **paying**                                                                                                                                                                                                                                  |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'paying' is redundant when the infinitive '(to) pay' is already provided as the English equivalent.
331,83,drawing,| zeichnen                                                   | (to) draw   **drawing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'drawing' is redundant when the infinitive '(to) draw' is already provided as the English equivalent.
332,83,showing,| zeigen                                                     | (to) show   **showing**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'showing' is redundant when the infinitive '(to) show' is already provided as the English equivalent.
333,83,camping,| zelten                                                     | (to) camp   **camping**                                                                                                                                                                                                                                |,ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle 'camping' is redundant when the infinitive '(to) camp' is already provided as the English equivalent.
334,83,"increasing, putting on weight","| zunehmen                                                   | (to) increase, put on weight   **increasing, putting on weight**                                                                                                                                                                                       |",ErrorCategory.STYLISTIC_PREFERENCE,80,The present participle forms are redundant when the infinitive forms are already provided as the English equivalent.
